Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Pass_Ast,Pass_xAG,Pass_xA,Pass_KP,Pass_1/3,Pass_PPA,Pass_CrsPA,Pass_PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Defend_Int,Defend_Tkl+Int,Defend_Clr,Defend_Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2023-11-04,18:00 (01:00),Matchweek 11,Sat,Away,W,2,1,Atalanta,2,9,3,33.3,0.11,0.33,23.0,1,1,1,1.3,0.6,0.06,0.7,0.4,Internazionale,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,6,17,35.3,28,5,42.9,38.5,9,55.6,46.3,19,0,0.0,0,4.0,380,482,78.8,6842,2590,161,189,85.2,173,195,88.7,37,72,51.4,1,0.5,0.3,6,31,7,2,26,482,437,43,15,0,1,14,16,1,1,0,0,380,2,9,15,8,2,0,0,3,2,4,2,0,0,0,1,1,21,14,11,8,2,9,14,64.3,5,8,4,4,10,31,24,1,46.0,603,72,231,275,102,14,602,11,8,72.7,3,27.3,306,1557,736,17,6,4,21,9,377,24,1,0,0,9,12,2,14,10,14,1,0,0,51,16,18,47.1
2023-11-12,20:45 (03:45),Matchweek 12,Sun,Home,W,2,0,Frosinone,2,20,5,25.0,0.05,0.2,19.6,1,1,1,3.1,2.3,0.12,-1.1,-1.3,Internazionale,3,0,3,100.0,1,0.2,0.2,0,0,0,0,4,7,57.1,31,2,16.1,25.5,3,66.7,44.3,11,0,0.0,1,18.0,434,521,83.3,7468,2729,208,235,88.5,161,182,88.5,49,73,67.1,1,2.0,1.6,16,25,15,3,38,521,476,45,14,2,4,18,18,9,6,1,0,434,0,9,34,25,2,1,4,2,0,3,1,0,1,0,1,0,20,15,13,7,0,9,16,56.3,7,14,3,11,9,29,19,0,47.0,637,67,244,258,143,33,636,16,11,68.8,4,25.0,370,1717,858,23,20,6,17,5,431,38,0,0,0,7,15,0,18,9,15,1,0,0,57,11,7,61.1
2023-11-26,20:45 (03:45),Matchweek 13,Sun,Away,D,1,1,Juventus,1,8,4,50.0,0.13,0.25,16.4,0,0,0,0.9,0.9,0.11,0.1,0.1,Internazionale,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,2,4,50.0,52,4,5.8,21.2,5,20.0,26.8,7,2,28.6,1,11.2,708,786,90.1,12253,3512,302,335,90.1,340,352,96.6,52,71,73.2,1,0.8,0.9,7,43,6,2,37,786,746,40,11,0,5,9,22,0,0,0,0,708,0,10,16,14,1,0,0,1,0,2,2,0,0,0,0,0,13,7,6,7,0,6,12,50.0,6,6,0,6,11,24,11,0,65.0,867,87,262,465,142,11,867,11,3,27.3,5,45.5,466,1935,1014,8,12,0,14,6,702,36,1,0,0,13,11,0,9,11,7,0,0,0,42,11,5,68.8
2023-12-03,20:45 (03:45),Matchweek 14,Sun,Away,W,3,0,Napoli,3,11,4,36.4,0.27,0.75,16.0,0,0,0,2.7,2.7,0.24,0.3,0.3,Internazionale,4,0,4,100.0,1,1.2,1.2,0,0,0,0,6,16,37.5,28,1,46.4,36.5,9,33.3,27.4,15,0,0.0,0,9.0,344,437,78.7,5730,2156,172,196,87.8,134,159,84.3,25,56,44.6,3,2.5,1.4,8,29,11,4,39,437,400,33,5,3,2,18,14,4,1,3,0,344,4,9,19,15,0,2,2,0,0,6,4,0,2,0,0,0,19,11,9,9,1,8,20,40.0,12,9,4,5,8,27,19,0,43.0,539,68,180,242,119,18,539,8,4,50.0,4,50.0,317,1275,636,14,13,4,8,9,342,38,2,0,0,13,2,4,18,8,11,0,0,0,41,14,13,51.9
2023-12-09,20:45 (03:45),Matchweek 15,Sat,Home,W,4,0,Udinese,4,16,7,43.8,0.19,0.43,16.7,0,1,1,3.5,2.7,0.17,0.5,0.3,Internazionale,1,0,1,100.0,1,0.0,0.0,0,0,0,0,0,0,,19,2,0.0,21.4,6,0.0,14.2,2,0,0.0,0,13.0,762,841,90.6,13667,3966,318,342,93.0,361,391,92.3,74,84,88.1,2,2.6,2.3,14,65,19,3,85,841,804,36,6,1,4,32,17,6,0,4,0,762,1,11,33,26,2,1,0,2,2,7,4,0,0,0,1,2,18,11,7,5,6,7,21,33.3,14,12,6,6,6,24,6,0,74.0,930,41,175,501,258,29,929,14,7,50.0,7,50.0,658,2882,1595,21,22,3,9,8,759,83,0,0,0,9,5,1,32,6,11,1,0,0,47,7,3,70.0
2023-12-17,20:45 (03:45),Matchweek 16,Sun,Away,W,2,0,Lazio,2,12,4,33.3,0.17,0.5,13.8,1,0,0,1.6,1.6,0.14,0.4,0.4,Internazionale,4,0,4,100.0,1,1.9,1.9,0,0,0,0,3,5,60.0,32,5,15.6,26.0,4,0.0,19.3,26,0,0.0,1,17.5,497,577,86.1,8522,2773,226,246,91.9,220,241,91.3,43,71,60.6,1,1.3,1.2,9,16,6,1,30,577,536,41,13,1,8,15,16,7,6,0,0,497,0,9,22,16,2,1,1,2,0,2,1,0,1,0,0,0,9,5,2,6,1,2,12,16.7,10,10,3,7,9,18,31,0,52.0,687,97,339,236,117,26,687,14,8,57.1,6,42.9,387,1975,997,20,12,10,13,7,491,28,2,0,0,15,11,0,15,9,5,0,0,0,47,12,5,70.6
2023-12-23,18:00 (01:00),Matchweek 17,Sat,Home,W,2,0,Lecce,2,20,8,40.0,0.1,0.25,15.1,1,0,0,2.9,2.9,0.15,-0.9,-0.9,Internazionale,5,0,5,100.0,1,0.8,0.8,0,0,0,0,0,2,0.0,43,7,2.3,21.8,8,12.5,21.4,13,0,0.0,1,22.5,556,646,86.1,9506,3222,242,261,92.7,257,286,89.9,44,69,63.8,2,2.8,3.2,16,32,13,2,49,646,593,53,12,3,1,38,16,16,10,5,0,556,0,13,36,23,5,0,7,1,0,3,2,1,0,0,0,0,12,8,8,3,1,5,15,33.3,10,7,1,6,4,16,8,0,68.0,732,75,228,304,204,35,732,19,6,31.6,11,57.9,477,2382,1191,22,19,6,13,10,553,49,1,0,0,8,13,0,38,4,8,0,0,0,37,16,12,57.1
2023-12-29,20:45 (03:45),Matchweek 18,Fri,Away,D,1,1,Genoa,1,16,6,37.5,0.06,0.17,14.4,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Internazionale,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,0,1,0.0,18,2,0.0,22.9,5,20.0,28.4,22,1,4.5,1,13.5,384,460,83.5,6430,2140,190,210,90.5,144,163,88.3,39,63,61.9,0,0.8,1.3,11,20,11,3,43,460,422,38,13,3,4,16,16,2,1,1,0,384,0,9,30,24,3,0,2,1,0,1,0,0,0,1,0,0,10,5,6,3,1,4,8,50.0,4,7,4,3,3,13,29,0,52.0,570,53,174,262,142,27,570,10,3,30.0,6,60.0,376,2056,1179,22,19,2,11,4,377,42,2,0,0,15,13,0,16,3,5,0,0,0,33,12,13,48.0
2024-01-06,12:30 (19:30),Matchweek 19,Sat,Home,W,2,1,Hellas Verona,2,15,6,40.0,0.13,0.33,15.2,0,0,0,1.9,1.9,0.13,0.1,0.1,Internazionale,3,1,2,66.7,0,0.4,-0.6,1,0,0,1,2,5,40.0,32,5,12.5,24.6,6,16.7,28.3,16,2,12.5,0,6.5,454,566,80.2,8350,3074,184,206,89.3,208,242,86.0,49,81,60.5,1,1.1,1.0,11,32,10,3,46,566,508,52,16,1,8,23,21,7,3,3,0,454,6,9,25,18,3,1,2,1,0,3,2,0,0,1,0,0,14,9,6,5,3,3,7,42.9,4,9,1,8,6,20,10,0,61.0,653,61,206,318,134,26,653,13,5,38.5,8,61.5,438,2026,959,18,12,5,12,6,452,46,0,0,0,16,13,6,23,6,9,0,1,0,50,18,21,46.2
2024-01-13,20:45 (03:45),Matchweek 20,Sat,Away,W,5,1,Monza,5,18,5,27.8,0.17,0.6,19.7,1,2,2,4.3,2.8,0.16,0.7,0.2,Internazionale,2,1,1,100.0,0,1.1,0.1,1,1,0,0,1,4,25.0,21,0,19.0,29.2,9,0.0,14.9,7,0,0.0,0,6.0,350,426,82.2,5865,1979,159,178,89.3,137,154,89.0,37,58,63.8,3,2.6,1.4,15,22,15,5,36,426,386,38,6,2,3,18,16,5,2,2,0,350,2,14,34,26,2,1,3,2,0,9,6,0,1,1,1,0,10,7,4,2,4,2,9,22.2,7,5,0,5,9,19,12,0,43.0,514,50,136,226,156,32,512,7,3,42.9,4,57.1,288,1480,855,24,11,5,9,4,350,36,2,0,0,12,5,2,18,9,7,1,1,0,37,5,6,45.5
